name,team1,team2,team3,team4,team5,team6,team7,team8,team9,team10
color,#cf3f27,#126783,#ce9215,#39714e,#745087,#db655d,#59666e,#718a31,#30467d,#ae6220
game0,0,0,0,0,0,0,0,0,0,0
game1,0,0,0,0,0,0,0,0,0,0
game2,11,-16,12,-17,-9,8,-2,6,18,-11
game3,11,-16,12,-17,-9,8,-2,6,18,-11
game4,13,-22,14,-21,-15,14,-7,11,28,-15
game5,13,-22,14,-21,-15,14,-7,11,28,-15
game6,17,-31,17,-29,-18,13,-5,18,36,-18
game7,17,-31,17,-29,-18,13,-5,18,36,-18
game8,27,-40,21,-41,-23,17,-7,27,38,-19
game9,27,-40,21,-41,-23,17,-7,27,38,-19
game10,33,-49,20,-49,-21,20,-6,40,43,-31
game11,33,-49,20,-49,-21,20,-6,40,43,-31
game12,43,-63,26,-50,-24,33,-16,46,46,-41
game13,43,-63,26,-50,-24,33,-16,46,46,-41
game14,43,-71,35,-46,-29,42,-23,46,63,-60
game15,43,-71,35,-46,-29,42,-23,46,63,-60
game16,42,-91,33,-36,-42,47,-12,49,80,-70
game17,42,-91,33,-36,-42,47,-12,49,80,-70
game18,72,-102,22,-30,-59,49,-20,54,85,-71
game19,72,-102,22,-30,-59,49,-20,54,85,-71
game20,83,-104,32,-38,-75,30,-2,76,86,-88
game21,83,-104,32,-38,-75,30,-2,76,86,-88
game22,77,-116,66,-49,-69,14,-4,72,108,-99
game23,77,-116,66,-49,-69,14,-4,72,108,-99
game24,93,-135,44,-43,-69,35,-4,53,137,-111
game25,93,-135,44,-43,-69,35,-4,53,137,-111
game26,77,-116,66,-49,-69,14,-4,72,108,-99
game27,77,-116,66,-49,-69,14,-4,72,108,-99
game28,83,-104,32,-38,-75,30,-2,76,86,-88
game29,83,-104,32,-38,-75,30,-2,76,86,-88
game30,72,-102,22,-30,-59,49,-20,54,85,-71
game31,72,-102,22,-30,-59,49,-20,54,85,-71
game32,42,-91,33,-36,-42,47,-12,49,80,-70
game33,42,-91,33,-36,-42,47,-12,49,80,-70
game34,43,-71,35,-46,-29,42,-23,46,63,-60
game35,43,-71,35,-46,-29,42,-23,46,63,-60
game36,43,-63,26,-50,-24,33,-16,46,46,-41
game37,43,-63,26,-50,-24,33,-16,46,46,-41
game38,33,-49,20,-49,-21,20,-6,40,43,-31
game39,33,-49,20,-49,-21,20,-6,40,43,-31
game40,27,-40,21,-41,-23,17,-7,27,38,-19
game41,27,-40,21,-41,-23,17,-7,27,38,-19
game42,17,-31,17,-29,-18,13,-5,18,36,-18
game43,17,-31,17,-29,-18,13,-5,18,36,-18
game44,13,-22,14,-21,-15,14,-7,11,28,-15
game45,13,-22,14,-21,-15,14,-7,11,28,-15
game46,11,-16,12,-17,-9,8,-2,6,18,-11
game47,11,-16,12,-17,-9,8,-2,6,18,-11
game48,0,0,0,0,0,0,0,0,0,0
game49,0,0,0,0,0,0,0,0,0,0
