name,team1,team2,team3,team4,team5,team6,team7,team8,team9,team10
color,#cf3f27,#126783,#ce9215,#39714e,#745087,#db655d,#59666e,#718a31,#30467d,#ae6220
match0,18,-12,25,-20,8,-5,30,-28,14,-16
match1,31,-18,42,-7,-4,13,24,-17,29,-25
match2,27,-4,58,5,-16,21,10,-6,37,-13
match3,45,9,51,18,-8,35,-2,7,24,3
match4,62,3,39,31,6,28,-11,22,12,17
match5,54,17,48,44,19,41,5,14,28,9
match6,71,29,63,36,33,27,18,30,41,22
match7,83,21,75,52,26,46,31,43,35,38
match8,76,38,88,67,42,59,24,51,49,46
match9,94,50,79,73,55,48,39,66,61,57
match10,108,43,96,85,69,64,52,58,74,71
match11,101,61,113,98,62,77,68,72,67,84
match12,119,75,106,111,78,91,81,87,83,76
